Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,C1222438
C12,0402,1,.1uF,C307331
C2,0402,1,.1uF,C307331
C3,0402,1,.1uF,C307331
C4,0805,1,4.7uF,C126590
C5,0402,1,.1uF,C307331
C6,0603,1,1uF,C913562
C7,0603,1,1uF,C913562
C8,0805,1,10uF,C1222438
C9,0402,1,.1uF,C307331 
D1,SOD3716X135N,1,B5819W-TP,C84354
D2,SOT-143,1,SP0503BAHTG,C7074
J1,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
J2,TerminalBlock_bornier-2_P5.08mm,1,Power In,C3011914
"J3, J4, J5, J6, J7",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04,C2691448
L2,WS2812B-2020,1,WS2812B-2020,C965555
Q2,SOT65P230X110-6N,1,UMH3N,C123008
R1,0402,1,10K,C60489
R10,0402,1,402,C41042
R16,0402,1,470,C852799
R2,0402,1,1K,C105637
R3,0402,1,1K,C105637
R4,0402,1,22.1K,C137898
R5,0402,1,47.5K,C270604
R6,0402,1,1K,C105637
R7,0402,1,10K,C414854
R9,0402,1,402,C41042
S1,SW_TL3342F160QG,1,TL3342F160QG,C492949
U1,MODULE_ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28,C964632
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV,C2876187
U4,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2115APW,C70287
