Designator,Mid X,Mid Y,Rotation,Layer
C1,111.76,-117.094,270.0,top
C12,135.444,-103.216,0.0,top
C2,113.796,-116.79,270.0,top
C3,126.634,-107.858,0.0,top
C4,125.378,-116.22,180.0,top
C5,125.696,-114.304,180.0,top
C6,125.988,-98.012,0.0,top
C7,132.654,-96.098,180.0,top
C8,125.63,-101.252,0.0,top
C9,135.386,-97.642,0.0,top
D1,133.1485,-105.4145,180.0,top
D2,127.25,-122.618,90.0,top
J1,135.956,-123.194,0.0,top
J2,120.754,-95.752,180.0,top
J3,147.974,-97.682,270.0,top
J4,147.974,-102.259,270.0,top
J5,147.974,-106.836,270.0,top
J6,147.974,-111.413,270.0,top
J7,147.974,-115.99,270.0,top
L2,120.022,-117.157,0.0,top
Q2,125.883,-109.986,0.0,top
R1,116.866,-118.484,0.0,top
R10,126.108,-96.238,180.0,top
R16,116.86,-116.382,180.0,top
R2,126.908,-105.116,90.0,top
R3,127.978,-105.088,90.0,top
R4,130.692,-119.684,180.0,top
R5,130.172,-118.124,270.0,top
R6,131.538,-118.124,270.0,top
R7,131.826,-98.298,0.0,top
R9,131.85,-103.028,0.0,top
S1,117.5765,-122.5425,180.0,top
U1,117.007,-107.32,90.0,top
U2,131.592,-113.51,0.0,top
U3,129.134,-96.558,180.0,top
U4,131.92,-100.614,0.0,top
