Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0805,2,10uF,C1222438
"C12, C2, C3, C5",0402,4,.1uF,C307331
C4,0805,1,4.7uF,C126590
"C6, C7",0603,2,1uF,C913562
C9,0402,1,.1uF,C307331 
D1,SOD3716X135N,1,B5819W-TP,C84354
D2,SOT-143,1,SP0503BAHTG,C7074
J1,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
J2,TerminalBlock_bornier-2_P5.08mm,1,Power In,C3011914
"J3, J4, J5, J6, J7",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04,C2691448
J8,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,C81276
L2,WS2812B-2020,1,WS2812B-2020,C965555
Q2,SOT65P230X110-6N,1,UMH3N,C123008
R1,0402,1,10K,C60489
"R10, R9",0402,2,402,C41042
R16,0402,1,470,C114949
"R2, R3, R6",0402,3,1K,C105637
R4,0402,1,22.1K,C137898
R5,0402,1,47.5K,C319605
R7,0402,1,10K,C414854
S1,SW_TL3342F160QG,1,TL3342F160QG,C492949
U1,MODULE_ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28,C964632
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV,C2876187
U4,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2115APW,C70287
"mouse-bite-2mm-slot_16, mouse-bite-2mm-slot_15, mouse-bite-2mm-slot_14, mouse-bite-2mm-slot_13, mouse-bite-2mm-slot_12, mouse-bite-2mm-slot_11, mouse-bite-2mm-slot_10, mouse-bite-2mm-slot_9, mouse-bite-2mm-slot_8, mouse-bite-2mm-slot_7, mouse-bite-2mm-slot_6, mouse-bite-2mm-slot_5, mouse-bite-2mm-slot_4, mouse-bite-2mm-slot_3, mouse-bite-2mm-slot_2, mouse-bite-2mm-slot",mouse-bite-2mm-slot,16,VAL**,
