Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",15.100000,24.816000,-90.000000,top
"C2",".1uF","C_0402_1005Metric",17.136000,25.120000,-90.000000,top
"C3",".1uF","C_0402_1005Metric",29.974000,34.052000,0.000000,top
"C4","4.7uF","C_0805_2012Metric",28.718000,25.690000,180.000000,top
"C5",".1uF","C_0402_1005Metric",29.036000,27.606000,180.000000,top
"C6","1uF","C_0603_1608Metric",29.328000,43.898000,0.000000,top
"C7","1uF","C_0603_1608Metric",35.994000,45.812000,180.000000,top
"C8","10uF","C_0805_2012Metric",28.970000,40.658000,0.000000,top
"C9",".1uF","C_0402_1005Metric",38.726000,44.268000,0.000000,top
"C12",".1uF","C_0402_1005Metric",38.784000,38.694000,0.000000,top
"D1","B5819W-TP","SOD3716X135N",36.488500,36.495500,180.000000,top
"D2","SP0503BAHTG","SOT-143",30.590000,19.292000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",39.296000,18.716000,0.000000,top
"J2","Power In","TerminalBlock_bornier-2_P5.08mm",24.094000,46.158000,180.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",51.314000,44.228000,-90.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",51.314000,39.651000,-90.000000,top
"J5","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",51.314000,35.074000,-90.000000,top
"J6","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",51.314000,30.497000,-90.000000,top
"J7","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",51.314000,25.920000,-90.000000,top
"J8","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical",46.342000,21.514000,0.000000,top
"L2","WS2812B-2020","WS2812B-2020",23.362000,24.753000,0.000000,top
"Q2","UMH3N","SOT65P230X110-6N",29.223000,31.924000,0.000000,top
"R1","10K","R_0402_1005Metric",20.206000,23.426000,0.000000,top
"R2","1K","R_0402_1005Metric",30.248000,36.794000,90.000000,top
"R3","1K","R_0402_1005Metric",31.318000,36.822000,90.000000,top
"R4","22.1K","R_0402_1005Metric",34.032000,22.226000,180.000000,top
"R5","47.5K","R_0402_1005Metric",33.512000,23.786000,-90.000000,top
"R6","1K","R_0402_1005Metric",34.878000,23.786000,-90.000000,top
"R7","10K","R_0402_1005Metric",35.166000,43.612000,0.000000,top
"R9","402","R_0402_1005Metric",35.190000,38.882000,0.000000,top
"R10","402","R_0402_1005Metric",29.448000,45.672000,180.000000,top
"R16","470","R_0402_1005Metric",20.200000,25.528000,180.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",65.900000,65.735000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",4.686000,65.735000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",66.154000,3.835000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",4.686000,3.835000,0.000000,top
"S1","TL3342F160QG","SW_TL3342F160QG",20.916500,19.367500,180.000000,top
"U1","ESP32-PICO-MINI-02","MODULE_ESP32-PICO-MINI-02",20.347000,34.590000,90.000000,top
"U2","CP2102N-A02-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",34.932000,28.400000,0.000000,top
"U3","LP5912-3.3DRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",32.474000,45.352000,180.000000,top
"U4","TPS2115APW","TSSOP-8_4.4x3mm_P0.65mm",35.260000,41.296000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",62.340000,45.898000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",62.340000,36.754000,-90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",66.674000,14.810000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",49.390000,55.160000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",62.340000,25.070000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",36.436000,55.160000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",7.840000,36.500000,-90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",66.916000,55.160000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",7.840000,45.644000,90.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",21.704000,55.160000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",47.624000,14.810000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",20.700000,14.810000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",3.416000,55.160000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",31.622000,14.810000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",3.682000,14.810000,0.000000,top
"mouse-bite-2mm-slot","VAL**","mouse-bite-2mm-slot",7.840000,24.816000,90.000000,top
